"code","decimal","currency","nation"
"JPY","0","日本・円","jpn"
"KPW","2","北朝鮮・ウォン","prk"
"KRW","2","韓国・ウォン","kor"
"CNY","2","中国・人民元","chn"
"USD","2","アメリカ合衆国/・ドル","usa"
"HKD","2","香港・ドル","hkg"
"BZD","2","ベリーズ・ドル","blz"
"CAD","2","カナダ・ドル","can"
"AUD","2","オーストラリア・ドル","aus"
"BBD","2","バルバドス・ドル","brb"
"BND","2","ブルネイ・ドル","brn"
"BSD","2","バハマ・ドル","bhs"
"FJD","2","フィジー・ドル","fji"
"GYD","2","ガイアナ・ドル","guy"
"JMD","2","ジャマイカ・ドル","jam"
"LRD","2","リベリア・ドル","lbr"
"NAD","2","ナミビア・ドル","nam"
"NZD","2","ニュージーランド・ドル","nzl"
"SGD","2","シンガポール・ドル","sgp"
"SRD","2","スリナム・ドル","sur"
"TTD","2","トリニダード・トバゴ・ドル","tto"
"TWD","2","台湾・ドル","twn"
"ZWD","2","ジンバブエ・ドル","zwe"
"EUR","2","オランダ・ユーロ","nld"
"EUR","2","ルクセンブルク・ユーロ","lux"
"EUR","2","ドイツ・ユーロ","deu"
"EUR","2","フランス・ユーロ","fra"
"EUR","2","イタリア・ユーロ","ita"
"EUR","2","アイルランド・ユーロ","irl"
"EUR","2","ギリシャ・ユーロ","grc"
"EUR","2","スペイン・ユーロ","esp"
"EUR","2","ポルトガル・ユーロ","prt"
"EUR","2","オーストラリア・ユーロ","aus"
"EUR","2","フィンランド・ユーロ","fin"
"EUR","2","スロベニア・ユーロ","svn"
"EUR","2","キプロス・ユーロ","cyp"
"EUR","2","マルタ・ユーロ","mlt"
"EUR","2","ベルギー・ユーロ","bel"
"KES","2","ケニア・シリング","ken"
"SOS","2","ソマリア・シリング","som"
"TZS","2","タンザニア・シリング","tza"
"UGX","2","ウガンダ・シリング","uga"
"INR","2","インド・ルピー","ind"
"LKR","2","スリランカ・ルピー","lka"
"MUR","2","モーリシャス・ルピー","mus"
"NPR","2","ネパール・ルピー","npl"
"PKR","2","パキスタン・ルピー","pak"
"SCR","2","セーシェル・ルピー","syc"
"ARS","2","アルゼンチン・ペソ","arg"
"CLP","2","チリ・ペソ","chl"
"COP","2","コロンビア・ペソ","col"
"CUP","2","キューバ・ペソ","cub"
"GWP","2","ギニアビサウ・ペソ","gnb"
"MXN","2","メキシコ・ペソ","mex"
"PHP","2","フィリピン・ペソ","phl"
"UYU","2","ウルグアイ・ペソ","ury"
"EGP","2","エジプト・ポンド","egy"
"GBP","2","イングランド・ポンド","gbr"
"GGP","2","ガーンジー・ポンド","ggy"
"GIP","2","ジブラルタル・ポンド","gib"
"LBP","2","レバノン・ポンド","lbn"
"SDG","2","スーダン・ポンド","sdn"
"SYP","2","シリア・ポンド","syr"
"BIF","2","ブルンジ・フラン","bdi"
"CDF","2","コンゴ・フラン","cog"
"CHF","2","スイス・フラン","che"
"DJF","2","ジブチ・フラン","dji"
"GNF","2","ギニア・フラン","gin"
"KMF","2","コモロ・フラン","com"
"MGF","2","マダガスカル・フラン","mdg"
"RWF","2","ルワンダ・フラン","rwa"
"CZK","2","チェコ・コルナ","cze"
"DKK","2","デンマーク・クローネ","dnk"
"NOK","2","ノルウェー・クローネ","nor"
"YER","2","イエメン・リアル","yem"
"IRR","2","イラン・リアル","irn"
"TRL","2","トルコ・リラ","tur"
"CSD","2","セルビア・ディナール","srb"
"DZD","2","アルジェリア・ディナール","dza"
"IQD","2","イラク・ディナール","irq"
"JOD","2","ヨルダン・ディナール","jor"
"KWD","2","クウェート・ディナール","kwt"
"LYD","2","リビア・ディナール","lby"
"MKD","2","マケドニア・ディナール","mkd"
"TND","2","チュニジア・ディナール","tun"
"IDR","2","インドネシア・ルピア","idn"
"MYR","2","マレーシア・リンギット","mys"
"THB","2","タイ・バーツ","tha"
"MAD","2","モロッコ・ディルハム","mar"
"VND","2","ベトナム・ドン","vnm"
"MMK","2","ミャンマー・チャット","mmr"
"MVR","2","モルディブ・ルフィヤ","mdv"
"AFN","2","アフガニスタン・アフガニ","afg"
"RUB","2","ロシア・ルーブル","rus"
"BYR","2","ベラルーシ・ルーブル","blr"
