"ip","device","last_check"
"210.230.128.224/28","au","20100205"
"121.111.227.160/27","au",""
"61.117.1.0/28","au",""
"219.108.158.0/27","au",""
"219.125.146.0/28","au",""
"61.117.2.32/29","au",""
"61.117.2.40/29","au",""
"219.108.158.40/29","au",""
"219.125.148.0/25","au",""
"222.5.63.0/25","au",""
"222.5.63.128/25","au",""
"222.5.62.128/25","au",""
"59.135.38.128/25","au",""
"219.108.157.0/25","au",""
"219.125.145.0/25","au",""
"121.111.231.0/25","au",""
"121.111.227.0/25","au",""
"118.152.214.192/26","au",""
"118.159.131.0/25","au",""
"118.159.133.0/25","au",""
"118.159.132.160/27","au",""
"111.86.142.0/26","au",""
"111.86.141.64/26","au",""
"111.86.141.128/26","au",""
"111.86.141.192/26","au",""
"210.153.84.0/24","decomo","200911"
"210.136.161.0/24","decomo",""
"210.153.86.0/24","decomo",""
"124.146.174.0/24","decomo",""
"124.146.175.0/24","decomo",""
"202.229.176.0/24","decomo",""
"202.229.177.0/24","decomo",""
"202.229.178.0/24 ","decomo",""
"123.108.236.0/24","softbank","20090918"
"123.108.237.0/27","softbank",""
"202.179.204.0/24","softbank",""
"202.253.96.224/27","softbank",""
"210.146.7.192/26","softbank",""
"210.146.60.192/26","softbank",""
"210.151.9.128/26","softbank",""
"210.175.1.128/25","softbank",""
"211.8.159.128/25","softbank",""
"124.83.159.146-124.83.159.185","yahoobot",""
"124.83.159.224-124.83.159.247","yahoobot",""
"66.249.64.0/19","googlebot",""
"72.14.199.0/25","googlebot",""
"209.85.238.0/25","googlebot",""
"210.150.10.32/27","goobot",""
"203.104.254.0/24","livedoorbot",""
