numUsefulLife,numRateDep,numRateDepUpdate,numRateDepAssured
2,1.000,,
3,0.833,1.000,0.02789
4,0.625,1.000,0.05274
5,0.500,1.000,0.06249
6,0.417,0.500,0.05776
7,0.357,0.500,0.05496
8,0.313,0.334,0.05111
9,0.278,0.334,0.04731
10,0.250,0.334,0.04448
11,0.227,0.250,0.04123
12,0.208,0.250,0.03870
13,0.192,0.200,0.03633
14,0.179,0.200,0.03389
15,0.167,0.200,0.03217
16,0.156,0.167,0.03063
17,0.147,0.167,0.02905
18,0.139,0.143,0.02757
19,0.132,0.143,0.02616
20,0.125,0.143,0.02517
21,0.119,0.125,0.02408
22,0.114,0.125,0.02296
23,0.109,0.112,0.02226
24,0.104,0.112,0.02157
25,0.100,0.112,0.02058
26,0.096,0.100,0.01989
27,0.093,0.100,0.01902
28,0.089,0.091,0.01866
29,0.086,0.091,0.01803
30,0.083,0.084,0.01766
31,0.081,0.084,0.01688
32,0.078,0.084,0.01655
33,0.076,0.077,0.01585
34,0.074,0.077,0.01532
35,0.071,0.072,0.01532
36,0.069,0.072,0.01494
37,0.068,0.072,0.01425
38,0.066,0.067,0.01393
39,0.064,0.067,0.01370
40,0.063,0.067,0.01317
41,0.061,0.063,0.01306
42,0.060,0.063,0.01261
43,0.058,0.059,0.01248
44,0.057,0.059,0.01210
45,0.056,0.059,0.01175
46,0.054,0.056,0.01175
47,0.053,0.056,0.01153
48,0.052,0.053,0.01126
49,0.051,0.053,0.01102
50,0.050,0.053,0.01072
51,0.049,0.050,0.01053
52,0.048,0.050,0.01036
53,0.047,0.048,0.01028
54,0.046,0.048,0.01015
55,0.045,0.046,0.01007
56,0.045,0.046,0.00961
57,0.044,0.046,0.00952
58,0.043,0.044,0.00945
59,0.042,0.044,0.00934
60,0.042,0.044,0.00895
61,0.041,0.042,0.00892
62,0.040,0.042,0.00882
63,0.040,0.042,0.00847
64,0.039,0.040,0.00847
65,0.038,0.039,0.00847
66,0.038,0.039,0.00828
67,0.037,0.038,0.00828
68,0.037,0.038,0.00810
69,0.036,0.038,0.00800
70,0.036,0.038,0.00771
71,0.035,0.036,0.00771
72,0.035,0.036,0.00751
73,0.034,0.035,0.00751
74,0.034,0.035,0.00738
75,0.033,0.034,0.00738
76,0.033,0.034,0.00726
77,0.032,0.033,0.00726
78,0.032,0.033,0.00716
79,0.032,0.033,0.00693
80,0.031,0.032,0.00693
81,0.031,0.032,0.00683
82,0.030,0.031,0.00683
83,0.030,0.031,0.00673
84,0.030,0.031,0.00653
85,0.029,0.030,0.00653
86,0.029,0.030,0.00645
87,0.029,0.030,0.00627
88,0.028,0.029,0.00627
89,0.028,0.029,0.00620
90,0.028,0.029,0.00603
91,0.027,0.027,0.00649
92,0.027,0.027,0.00632
93,0.027,0.027,0.00615
94,0.027,0.027,0.00598
95,0.026,0.027,0.00594
96,0.026,0.027,0.00578
97,0.026,0.027,0.00563
98,0.026,0.027,0.00549
99,0.025,0.026,0.00549
100,0.025,0.026,0.00546
